CreditHistory	Duration	Age	GoodBad
A34	6	67	1
A32	48	22	2
A34	12	49	1
A32	42	45	1
A33	24	53	2
A32	36	35	1
A32	24	53	1
A32	36	35	1
A32	12	61	1
A34	30	28	2
A32	12	25	2
A32	48	24	2
A32	12	22	1
A34	24	60	2
A32	15	28	1
A32	24	32	2
A34	24	53	1
A30	30	25	1
A32	24	44	2
A32	24	31	1
A34	9	48	1
A32	6	44	1
A34	10	48	1
A34	12	44	1
A34	10	26	1
A32	6	36	1
A30	6	39	1
A31	12	42	1
A32	7	34	1
A33	60	63	2
A32	18	36	1
A32	24	27	1
A32	18	30	1
A34	12	57	1
A32	12	33	1
A34	45	25	2
A34	48	31	1
A32	18	37	2
A32	10	37	1
A32	9	24	1
A32	30	30	1
A32	12	26	1
A33	18	44	1
A34	30	24	1
A34	48	58	2
A34	11	35	1
A32	36	39	1
A32	6	23	1
A34	11	39	1
A32	12	28	1
A33	24	29	1
A33	27	30	1
A32	12	25	1
A32	18	31	1
A33	36	57	2
A31	6	26	1
A32	12	52	2
A34	36	31	1
A32	18	23	1
A34	36	23	2
A32	9	27	1
A34	15	50	1
A30	36	61	2
A30	48	25	2
A32	24	26	1
A32	27	48	1
A32	12	29	1
A32	12	22	1
A32	36	37	2
A32	36	25	1
A32	36	30	1
A34	7	46	1
A34	8	51	1
A34	42	41	1
A32	36	40	2
A34	12	66	1
A32	42	34	2
A33	11	51	1
A30	54	39	1
A32	30	22	1
A32	24	44	2
A32	15	47	1
A32	18	24	1
A32	24	58	1
A32	10	52	1
A34	12	29	1
A34	18	27	1
A32	36	47	2
A32	18	30	1
A30	12	28	2
A34	12	56	1
A34	12	54	1
A34	12	33	2
A34	24	20	1
A32	12	54	1
A30	54	58	2
A34	12	61	1
A32	18	34	1
A34	36	36	1
A33	20	36	1
A32	24	41	1
A32	36	24	1
A33	6	24	1
A34	9	35	1
A32	12	26	1
A34	24	39	2
A31	18	39	2
A32	12	32	1
A32	24	30	1
A32	14	35	1
A33	6	31	1
A32	15	23	1
A32	18	28	1
A34	36	25	2
A32	12	35	1
A34	48	47	1
A32	42	30	2
A34	10	27	1
A34	33	23	2
A34	12	36	1
A32	21	25	2
A34	24	41	1
A32	12	24	1
A34	10	63	1
A32	18	27	2
A34	12	30	1
A32	12	40	1
A32	12	30	2
A34	12	34	1
A34	12	29	2
A32	48	24	1
A33	36	29	2
A32	15	27	1
A32	18	47	1
A32	60	21	1
A34	12	38	1
A33	27	27	1
A32	12	66	2
A34	15	35	1
A32	12	44	1
A32	6	27	1
A32	36	30	1
A32	27	27	1
A32	18	22	2
A34	21	23	1
A31	48	30	1
A34	6	39	1
A34	12	51	1
A34	36	28	1
A34	18	46	1
A32	6	42	1
A32	10	38	1
A32	36	24	1
A34	24	29	1
A33	24	36	1
A32	12	20	2
A34	9	48	1
A31	12	45	1
A32	24	38	1
A34	6	34	1
A34	24	36	1
A34	18	30	1
A32	15	36	1
A32	10	70	1
A32	36	36	1
A32	6	32	1
A32	18	33	2
A32	11	20	1
A32	24	25	1
A34	24	31	2
A30	15	33	2
A32	12	26	1
A33	24	34	2
A32	8	33	1
A33	21	26	2
A31	30	53	2
A32	12	42	1
A34	6	52	1
A32	12	31	1
A34	21	65	1
A33	36	28	2
A33	36	30	2
A31	21	40	2
A34	24	50	1
A34	18	36	2
A34	15	31	1
A31	9	74	2
A34	16	68	1
A32	12	20	2
A30	18	33	1
A32	24	54	2
A30	48	34	2
A32	27	36	2
A32	6	29	1
A32	45	21	2
A34	9	34	2
A34	6	28	1
A32	12	27	2
A32	24	36	1
A33	18	40	2
A34	9	52	1
A32	12	27	1
A33	27	26	1
A32	12	21	2
A34	12	38	1
A34	30	38	1
A34	12	43	1
A34	12	26	1
A32	24	21	1
A32	12	55	1
A34	9	33	1
A32	36	45	1
A30	27	50	2
A33	30	66	2
A34	36	51	1
A34	6	39	1
A30	18	31	1
A32	36	23	1
A32	24	24	1
A32	10	64	1
A32	12	26	1
A32	12	23	1
A32	12	30	1
A33	24	32	1
A32	15	30	1
A30	36	27	1
A32	48	27	2
A32	12	53	2
A32	9	22	2
A32	24	22	1
A32	36	26	2
A32	9	51	1
A32	12	35	1
A32	18	25	1
A34	4	42	1
A32	24	30	2
A32	6	23	2
A32	21	61	2
A34	12	35	1
A32	30	39	1
A32	24	29	2
A32	6	51	1
A30	48	24	2
A34	12	27	1
A31	12	35	1
A32	24	25	1
A34	12	52	1
A30	6	35	1
A32	24	26	1
A32	18	22	2
A34	6	39	1
A32	12	46	1
A32	30	24	2
A33	24	35	1
A32	9	24	1
A33	60	27	1
A34	24	35	1
A31	12	29	2
A32	15	23	1
A34	11	57	1
A32	12	27	1
A32	24	55	1
A34	18	36	1
A34	12	57	1
A34	10	32	1
A32	15	37	2
A34	36	36	1
A32	24	38	1
A32	14	45	2
A32	24	25	1
A32	18	32	1
A34	12	37	1
A31	48	36	1
A32	48	28	2
A32	30	34	2
A32	9	32	1
A34	18	26	1
A32	12	49	1
A32	6	32	2
A32	24	29	1
A34	15	23	1
A32	12	50	1
A31	18	49	1
A34	15	63	1
A34	24	37	1
A32	47	35	1
A32	48	26	1
A33	48	31	1
A32	12	49	1
A33	24	48	2
A32	12	26	1
A32	36	28	2
A34	24	44	1
A34	42	56	1
A34	48	46	1
A32	48	26	2
A32	12	20	1
A32	10	45	1
A32	18	43	1
A34	21	32	1
A32	6	54	1
A30	36	42	2
A34	24	37	2
A34	10	49	1
A34	48	44	2
A32	6	33	1
A32	30	24	1
A32	12	33	2
A32	8	24	2
A32	9	22	1
A32	48	40	1
A32	24	25	1
A32	24	26	1
A32	12	25	2
A32	4	29	1
A31	36	31	2
A32	12	38	1
A32	24	48	1
A34	12	32	1
A33	15	27	1
A34	30	28	2
A32	24	32	2
A32	24	34	1
A32	18	28	1
A34	18	36	1
A34	8	39	1
A34	12	49	1
A32	24	34	1
A32	36	31	1
A32	6	28	1
A34	24	75	1
A34	18	30	2
A32	60	24	2
A34	48	24	2
A30	24	23	2
A34	6	44	2
A32	13	23	1
A32	15	24	2
A32	24	28	1
A32	10	31	1
A34	24	24	1
A32	21	26	1
A32	18	25	1
A32	18	33	1
A32	10	37	1
A34	15	43	1
A34	13	23	1
A32	24	23	1
A33	6	34	1
A34	9	32	2
A32	9	23	1
A32	9	29	2
A34	18	38	1
A30	12	28	2
A32	10	46	1
A32	24	23	2
A34	12	49	1
A33	36	26	2
A32	12	28	1
A32	30	23	2
A32	18	61	1
A32	12	37	1
A33	12	36	1
A32	6	21	1
A32	18	25	2
A32	12	36	1
A34	18	27	1
A32	18	22	1
A32	36	42	2
A32	18	40	1
A32	36	36	1
A34	18	33	1
A34	10	23	1
A34	60	63	1
A31	60	60	2
A31	48	37	2
A33	18	34	1
A33	7	36	1
A32	36	57	2
A34	6	52	1
A32	20	39	1
A32	18	38	2
A32	22	25	1
A32	12	26	1
A33	30	26	1
A34	18	25	1
A32	18	21	1
A34	18	40	1
A34	15	27	1
A32	9	27	1
A32	18	30	1
A32	12	19	1
A32	36	39	1
A34	6	31	1
A34	9	31	1
A33	39	32	1
A32	12	55	1
A34	36	46	1
A32	12	46	2
A34	24	43	1
A32	18	39	1
A34	18	28	1
A33	24	27	2
A33	14	27	1
A33	18	43	1
A32	24	22	2
A34	24	43	1
A32	15	27	1
A32	24	26	1
A34	12	28	2
A32	24	20	1
A34	33	35	1
A34	12	42	2
A32	10	40	1
A32	24	35	2
A34	36	35	1
A32	12	33	2
A33	18	23	1
A32	21	31	1
A32	18	33	2
A32	15	20	1
A32	12	30	1
A34	12	47	1
A33	21	34	1
A32	12	25	2
A32	18	21	1
A34	28	29	1
A34	18	46	1
A32	9	20	1
A34	18	55	2
A32	5	74	1
A32	24	29	2
A34	6	36	1
A34	24	33	1
A32	9	25	1
A32	12	25	2
A32	6	23	1
A34	24	37	1
A34	42	65	1
A31	12	26	2
A32	12	39	1
A32	12	30	1
A33	20	29	1
A32	12	41	2
A34	48	30	2
A34	9	41	1
A32	36	34	2
A32	7	35	1
A32	12	55	1
A33	15	61	2
A34	36	30	1
A32	6	29	1
A30	12	34	1
A32	24	35	1
A32	24	31	2
A32	24	29	1
A34	11	36	1
A32	12	35	2
A32	6	27	1
A32	18	32	1
A32	36	37	1
A32	15	36	1
A32	12	34	1
A32	12	38	1
A32	18	34	1
A32	24	63	1
A33	24	29	2
A33	48	32	1
A33	33	26	1
A33	24	35	1
A32	24	22	2
A32	6	23	2
A32	9	28	2
A32	6	36	1
A34	18	33	2
A30	18	26	2
A32	39	24	1
A32	24	25	1
A32	12	39	1
A34	15	44	1
A34	12	23	1
A32	24	26	1
A32	30	57	1
A33	15	30	1
A34	12	44	1
A33	6	47	2
A32	12	52	1
A32	24	62	1
A32	10	35	1
A32	6	26	1
A34	12	26	1
A30	27	42	2
A34	6	27	1
A32	6	38	1
A34	12	39	1
A32	24	20	2
A32	36	29	2
A34	24	40	1
A32	18	32	1
A34	6	28	1
A32	24	27	2
A32	36	42	1
A32	9	49	1
A34	24	38	2
A32	24	24	2
A32	10	27	2
A34	15	36	1
A31	15	34	2
A32	24	28	1
A32	39	45	1
A32	12	26	2
A32	36	32	1
A32	15	26	1
A33	12	20	1
A32	24	54	1
A34	6	37	1
A34	6	40	1
A34	36	23	2
A32	6	43	1
A34	6	36	1
A34	24	44	1
A32	18	24	2
A30	48	53	2
A32	24	23	1
A32	18	26	1
A32	26	30	1
A34	15	31	1
A34	4	42	1
A32	36	31	2
A32	6	41	1
A32	36	32	1
A32	15	28	2
A33	12	41	1
A32	24	26	1
A32	24	25	1
A34	21	33	2
A32	6	75	1
A34	18	37	1
A32	48	42	2
A32	18	45	1
A32	12	23	2
A33	24	60	1
A32	30	31	2
A32	18	34	2
A34	12	61	1
A33	24	43	2
A34	24	37	1
A32	24	32	1
A31	12	24	2
A34	48	35	1
A34	12	23	1
A31	6	45	1
A32	48	34	2
A34	12	27	1
A32	9	67	1
A32	12	22	2
A30	18	28	2
A30	21	29	2
A31	24	27	2
A34	18	31	2
A32	24	49	1
A31	24	24	2
A33	6	29	1
A32	36	37	2
A33	24	37	1
A33	24	23	1
A32	12	36	2
A34	24	34	1
A32	48	41	1
A32	48	31	2
A32	24	23	2
A34	30	38	1
A32	24	26	1
A32	15	22	1
A32	9	27	1
A34	15	24	1
A32	12	27	1
A34	24	33	1
A34	36	27	2
A32	24	27	1
A34	18	30	2
A34	12	49	1
A32	9	26	1
A32	36	33	2
A32	12	52	1
A32	18	20	2
A34	9	36	1
A32	12	21	1
A32	18	47	2
A34	12	60	2
A34	12	58	1
A33	24	42	1
A32	21	36	1
A32	24	20	2
A31	24	40	2
A31	6	32	2
A32	24	23	2
A30	24	36	2
A34	18	31	2
A33	24	32	1
A32	7	45	1
A32	9	30	2
A31	24	34	2
A32	36	28	2
A32	10	23	1
A31	24	22	1
A34	24	74	1
A32	36	50	2
A32	18	33	1
A32	15	45	1
A32	12	22	2
A32	10	48	2
A32	21	29	1
A31	24	22	1
A33	18	22	2
A30	48	48	1
A33	60	27	1
A34	6	37	1
A32	30	21	2
A32	12	49	1
A34	21	27	1
A34	18	32	2
A32	48	38	2
A32	12	22	1
A32	18	65	2
A32	15	35	1
A32	6	41	1
A31	9	29	2
A34	42	36	1
A32	9	64	1
A32	24	28	1
A31	18	44	2
A32	15	23	1
A32	9	19	2
A32	24	25	2
A32	12	47	1
A32	24	28	1
A33	60	21	1
A32	12	34	1
A33	42	26	2
A32	18	27	2
A32	15	38	1
A32	15	40	2
A34	24	33	1
A34	18	32	1
A33	36	27	2
A30	30	32	1
A32	12	26	2
A32	24	38	2
A32	12	40	2
A32	48	50	1
A32	12	37	2
A32	24	45	2
A33	36	42	2
A34	24	35	1
A32	14	22	1
A32	12	41	2
A32	48	37	1
A30	30	28	1
A34	18	41	1
A32	12	23	1
A32	12	23	2
A32	21	50	1
A33	6	35	1
A34	6	50	1
A34	24	27	1
A31	30	34	1
A31	48	27	1
A34	12	43	2
A34	30	47	1
A34	24	27	1
A32	36	31	1
A32	60	42	1
A34	6	24	1
A33	21	41	2
A34	30	26	1
A34	24	33	1
A32	72	24	2
A32	24	64	1
A32	18	26	1
A32	6	56	1
A32	12	37	1
A33	15	33	1
A34	24	47	1
A33	36	31	1
A32	60	34	1
A34	10	27	1
A33	36	30	1
A32	9	35	1
A32	12	31	1
A34	15	25	1
A32	15	25	1
A32	24	29	1
A34	6	44	1
A32	24	28	1
A32	6	50	1
A32	12	29	1
A34	12	38	1
A34	18	24	1
A32	15	40	1
A32	12	29	2
A34	48	46	2
A32	24	47	1
A33	30	41	1
A32	27	32	1
A32	15	35	1
A32	48	24	2
A30	12	25	2
A32	9	25	1
A32	9	37	1
A34	18	32	1
A31	6	35	2
A32	21	46	1
A34	9	25	1
A32	60	27	2
A34	30	63	1
A34	30	40	1
A32	18	32	1
A34	24	31	1
A30	20	31	1
A30	9	34	2
A31	6	24	2
A32	12	24	2
A32	9	66	1
A32	27	21	2
A34	6	41	1
A34	15	47	1
A32	18	25	2
A31	48	59	2
A34	24	36	1
A33	24	33	1
A32	24	21	2
A32	8	44	1
A32	24	28	1
A34	4	37	1
A31	36	29	1
A32	24	23	2
A32	18	35	1
A34	6	45	1
A30	30	26	2
A31	24	32	1
A31	10	23	1
A32	21	41	1
A31	24	22	1
A34	39	30	1
A34	13	28	1
A32	15	23	1
A32	12	37	2
A32	21	26	1
A32	15	33	1
A32	6	49	1
A32	18	23	2
A32	12	23	1
A34	30	25	1
A33	12	55	2
A32	24	32	2
A34	6	74	1
A34	15	39	2
A32	24	31	1
A34	12	35	2
A34	15	59	1
A34	18	24	2
A32	12	24	1
A34	21	30	2
A34	24	27	1
A32	12	40	1
A32	30	31	2
A32	10	31	1
A34	12	28	1
A34	12	63	1
A32	24	26	1
A34	36	25	2
A34	21	36	1
A34	24	52	1
A34	12	66	1
A32	24	25	2
A34	36	37	1
A32	18	25	1
A34	36	38	1
A32	18	67	1
A34	39	25	2
A34	24	60	1
A30	12	31	1
A32	12	23	2
A32	20	60	1
A32	18	35	1
A32	22	40	1
A34	48	38	1
A33	48	50	2
A34	40	27	2
A32	21	39	2
A32	24	41	1
A34	6	27	1
A32	24	51	1
A32	24	32	1
A32	9	22	1
A32	18	51	2
A34	12	22	1
A33	24	54	1
A32	9	35	1
A34	24	54	1
