mammal,Right Top Incisors,Right Bottom Incisors,Right Top Canines,Right Bottom Canines,Right Top Premolars,Right Bottom Premolars,Right Top Molars,Right Bottom Molars
Brown Bat,2,3,1,1,3,3,3,3
Mole,3,2,1,0,3,3,3,3
Silver Hair Bat,2,3,1,1,2,3,3,3
Pigmy Bat,2,3,1,1,2,2,3,3
Mouse Bat,2,3,1,1,1,2,3,3
Red Bat,1,3,1,1,2,2,3,3
Pika,2,1,0,0,2,2,3,3
Rabbit,2,1,0,0,3,2,3,3
Beaver,1,1,0,0,2,1,3,3
Groundhog,1,1,0,0,2,1,3,3
Gray Squirrel,1,1,0,0,1,1,3,3
House Mouse,1,1,0,0,0,0,3,3
Porcupine,1,1,0,0,1,1,3,3
Wolf,3,3,1,1,4,4,2,3
Bear,3,3,1,1,4,4,2,3
Racoon,3,3,1,1,4,4,3,2
Marten,3,3,1,1,4,4,1,2
Weasel,3,3,1,1,3,3,1,2
Wolverine,3,3,1,1,4,4,1,2
Badger,3,3,1,1,3,3,1,2
River Otter,3,3,1,1,4,3,1,2
Sea Otter,3,2,1,1,3,3,1,2
Jaguar,3,3,1,1,3,2,1,1
Cougar,3,3,1,1,3,2,1,1
Fur Seal,3,2,1,1,4,4,1,1
Sea Lion,3,2,1,1,4,4,1,1
Gray Seal,3,2,1,1,3,3,2,2
Elephant Seal,2,1,1,1,4,4,1,1
Reindeer,0,4,1,0,3,3,3,3
Elk,0,4,1,0,3,3,3,3
Deer,0,4,0,0,3,3,3,3
Moose,0,4,0,0,3,3,3,3
